left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
3,1,21,8,38.0952380953,2.0,2.0,2.0,4.5,0.0,B5,B,5,2
3,2,540,193,35.7407407407,3.0207253886,2.83419689119,3.01554404145,4.49740932642,0.362694300518,B5,B,5,2
3,3,995,346,34.7738693467,2.04624277457,1.91329479769,2.04335260115,4.10982658959,0.260115606936,B5,B,5,2
3,4,126,44,34.9206349207,1.40909090909,1.25,1.40909090909,3.79545454546,0.318181818182,B5,B,5,2
4,2,21,6,28.5714285714,2.33333333333,2.16666666667,2.33333333333,5.16666666666,0.333333333333,B5,B,5,2
4,3,126,44,34.9206349207,1.40909090909,1.25,1.40909090909,3.79545454546,0.318181818182,B5,B,5,2
4,4,90,25,27.7777777778,1.16,1.0,1.16,3.92,0.32,B5,B,5,2
5,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B5,B,5,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,2
1,1,161,55,34.1614906832,90.1636363637,55.7454545455,68.4363636364,8.63636363637,30.3636363636,B6,B,6,2
1,2,393,186,47.3282442748,21.5322580645,17.6559139785,19.747311828,7.61827956989,4.33333333334,B6,B,6,2
1,3,161,88,54.6583850931,7.28409090909,6.95454545454,7.26136363636,7.04545454546,0.613636363636,B6,B,6,2
1,4,7,5,71.4285714285,1.8,1.8,1.8,5.6,0.0,B6,B,6,2
2,1,393,186,47.3282442748,21.5322580645,17.6559139785,19.747311828,7.61827956989,4.33333333334,B6,B,6,2
2,2,4389,1899,43.2672590567,18.1221695629,14.2611901,16.3965244866,7.33438651922,4.56556082149,B6,B,6,2
2,3,4928,2163,43.8920454545,9.20527045769,7.91262135922,8.84789644013,6.81183541378,1.93804900601,B6,B,6,2
2,4,826,345,41.7675544794,5.64057971015,5.0115942029,5.53043478261,6.73333333333,1.03768115942,B6,B,6,2
2,5,7,2,28.5714285714,3.5,3.5,3.5,8.0,0.0,B6,B,6,2
3,1,161,88,54.6583850931,7.28409090909,6.95454545454,7.26136363636,7.04545454546,0.613636363636,B6,B,6,2
3,2,4928,2163,43.8920454545,9.20527045769,7.91262135922,8.84789644013,6.81183541378,1.93804900601,B6,B,6,2
3,3,13370,5646,42.2288706058,5.33049946865,4.7771873893,5.24123273114,6.05295784626,0.950053134963,B6,B,6,2
3,4,4928,2030,41.1931818182,3.42266009852,3.03300492611,3.39162561576,5.57142857143,0.717241379311,B6,B,6,2
3,5,161,59,36.6459627329,2.3220338983,2.03389830509,2.3220338983,5.72881355932,0.576271186441,B6,B,6,2
4,1,7,5,71.4285714285,1.8,1.8,1.8,5.6,0.0,B6,B,6,2
4,2,826,345,41.7675544794,5.64057971015,5.0115942029,5.53043478261,6.73333333333,1.03768115942,B6,B,6,2
4,3,4928,2030,41.1931818182,3.42266009852,3.03300492611,3.39162561576,5.57142857143,0.717241379311,B6,B,6,2
4,4,4389,1719,39.1660970608,2.35892961024,2.03490401396,2.34322280396,5.16230366492,0.616637579988,B6,B,6,2
4,5,393,150,38.1679389313,1.6,1.32666666667,1.6,4.8,0.546666666667,B6,B,6,2
5,2,7,2,28.5714285714,3.5,3.5,3.5,8.0,0.0,B6,B,6,2
5,3,161,59,36.6459627329,2.3220338983,2.03389830509,2.3220338983,5.72881355932,0.576271186441,B6,B,6,2
5,4,393,150,38.1679389313,1.6,1.32666666667,1.6,4.8,0.546666666667,B6,B,6,2
5,5,161,49,30.4347826087,1.28571428571,1.02040816327,1.28571428571,4.77551020408,0.530612244898,B6,B,6,2
6,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
1,1,161,14,8.69565217392,2.92857142857,2.85714285714,2.85714285714,10.4285714286,0.0,B6,B,6,3
