ell,total,changed,percentage_changed,avg_support_size,max_support_size,avg_signed_mass_at_one,max_signed_mass_at_one,avg_abs_mass_at_one,max_abs_mass_at_one,avg_monomial_complexity,max_monomial_complexity,avg_max_abs_degree,max_max_abs_degree,avg_max_bruhat_depth,max_max_bruhat_depth,avg_degree_zero_ratio,degree_zero_only,genuinely_graded,avg_avg_abs_degree,max_avg_abs_degree,avg_weighted_abs_degree_mass,max_weighted_abs_degree_mass,mild,moderate,wild,type,family,rank,prime
0,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B3,B,3,2
1,3,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B3,B,3,2
2,5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B3,B,3,2
3,7,1,14.2857142857,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,1,0,0.0,0.0,0.0,0,1,0,0,B3,B,3,2
4,8,2,25.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,2,0,0.0,0.0,0.0,0,2,0,0,B3,B,3,2
5,8,2,25.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,2,0,0.0,0.0,0.0,0,2,0,0,B3,B,3,2
6,7,1,14.2857142857,4.0,4,4.0,4,4.0,4,4.0,4,0.0,0,4.0,4,1.0,1,0,0.0,0.0,0.0,0,0,1,0,B3,B,3,2
7,5,2,40.0,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,2,0,0.0,0.0,0.0,0,2,0,0,B3,B,3,2
8,3,2,66.6666666666,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,3.0,4,1.0,2,0,0.0,0.0,0.0,0,2,0,0,B3,B,3,2
9,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B3,B,3,2
