ell,total,changed,percentage_changed,type,family,rank,prime,source
5,86,11,12.7906976744,C5,C,5,2,percentage
6,125,24,19.2,C5,C,5,2,percentage
7,169,43,25.4437869822,C5,C,5,2,percentage
8,215,67,31.1627906977,C5,C,5,2,percentage
9,259,92,35.5212355212,C5,C,5,2,percentage
10,297,114,38.3838383838,C5,C,5,2,percentage
11,325,131,40.3076923077,C5,C,5,2,percentage
12,340,142,41.7647058823,C5,C,5,2,percentage
13,340,145,42.6470588236,C5,C,5,2,percentage
14,325,144,44.3076923077,C5,C,5,2,percentage
15,297,137,46.127946128,C5,C,5,2,percentage
16,259,122,47.1042471043,C5,C,5,2,percentage
17,215,96,44.6511627907,C5,C,5,2,percentage
18,169,71,42.0118343195,C5,C,5,2,percentage
19,125,48,38.4,C5,C,5,2,percentage
20,86,32,37.2093023256,C5,C,5,2,percentage
21,54,18,33.3333333333,C5,C,5,2,percentage
22,30,8,26.6666666667,C5,C,5,2,percentage
23,14,3,21.4285714286,C5,C,5,2,percentage
24,5,1,20.0,C5,C,5,2,percentage
25,1,0,0.0,C5,C,5,2,percentage
0,1,0,0.0,C6,C,6,2,percentage
1,6,0,0.0,C6,C,6,2,percentage
2,20,0,0.0,C6,C,6,2,percentage
3,50,1,2.0,C6,C,6,2,percentage
4,104,5,4.8076923077,C6,C,6,2,percentage
5,190,16,8.42105263157,C6,C,6,2,percentage
6,315,40,12.6984126984,C6,C,6,2,percentage
7,484,84,17.3553719008,C6,C,6,2,percentage
8,699,155,22.1745350501,C6,C,6,2,percentage
9,958,257,26.8267223382,C6,C,6,2,percentage
10,1255,389,30.9960159363,C6,C,6,2,percentage
11,1580,547,34.6202531646,C6,C,6,2,percentage
12,1919,722,37.6237623763,C6,C,6,2,percentage
13,2254,903,40.0621118012,C6,C,6,2,percentage
14,2565,1080,42.1052631579,C6,C,6,2,percentage
15,2832,1246,43.9971751412,C6,C,6,2,percentage
16,3037,1396,45.9664142246,C6,C,6,2,percentage
17,3166,1512,47.7574226153,C6,C,6,2,percentage
18,3210,1581,49.2523364486,C6,C,6,2,percentage
19,3166,1595,50.3790271636,C6,C,6,2,percentage
20,3037,1569,51.6628251564,C6,C,6,2,percentage
21,2832,1466,51.7655367232,C6,C,6,2,percentage
22,2565,1331,51.8908382066,C6,C,6,2,percentage
23,2254,1143,50.7098491571,C6,C,6,2,percentage
24,1919,961,50.0781657113,C6,C,6,2,percentage
25,1580,785,49.6835443038,C6,C,6,2,percentage
26,1255,607,48.3665338645,C6,C,6,2,percentage
27,958,435,45.4070981211,C6,C,6,2,percentage
28,699,296,42.3462088698,C6,C,6,2,percentage
29,484,190,39.2561983471,C6,C,6,2,percentage
