support_size,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
5,4298,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
6,41005,214,0.521887574686,1.57943925234,1.56074766355,1.56074766355,9.65420560748,0.0,C6,C,6,3
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
2,12,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
3,40,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
4,135,4,2.96296296296,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
2,18,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
3,66,0,0.0,0.0,0.0,0.0,0.0,0.0,D5,D,5,2
4,293,4,1.36518771331,1.0,1.0,1.0,4.0,0.0,D5,D,5,2
5,1537,83,5.40013012362,1.51807228916,1.51807228916,1.51807228916,4.69879518072,0.0,D5,D,5,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
2,25,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
3,100,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
4,451,4,0.886917960089,1.0,1.0,1.0,4.0,0.0,D6,D,6,2
5,2646,87,3.28798185941,1.49425287356,1.49425287356,1.49425287356,4.66666666666,0.0,D6,D,6,2
6,19811,1757,8.86881025693,2.78087649402,2.74160500854,2.77404667046,6.08935685828,0.0648833238474,D6,D,6,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
2,25,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,100,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
4,451,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
5,2646,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
6,19811,4,0.0201908030892,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,2
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,2
2,25,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,2
3,100,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,2
4,495,4,0.80808080808,1.0,1.0,1.0,4.0,0.0,E6,E,6,2
5,3686,166,4.50352685838,1.51807228916,1.51807228916,1.51807228916,4.69879518072,0.0,E6,E,6,2
6,47527,8073,16.9861341974,4.37383872167,4.16387959867,4.24873033569,7.27536231884,0.169701474049,E6,E,6,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
2,25,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
3,100,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
4,495,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
5,3686,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
6,47527,1028,2.16298104235,2.30350194552,2.27237354085,2.27237354085,8.21984435798,0.0,E6,E,6,3
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,2
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,2
2,14,1,7.14285714286,1.0,1.0,1.0,2.0,0.0,F4,F,4,2
3,76,19,25.0,1.36842105263,1.31578947369,1.36842105263,2.47368421053,0.105263157895,F4,F,4,2
4,1057,612,57.8997161778,4.35294117647,3.41176470588,4.06535947712,5.40196078431,1.39869281046,F4,F,4,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,3
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,3
2,14,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,3
3,76,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,3
4,1057,72,6.81173131504,1.0,1.0,1.0,5.0,0.0,F4,F,4,3
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,2
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,2
2,9,4,44.4444444444,1.0,1.0,1.0,3.0,0.0,G2,G,2,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,3
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,3
2,9,2,22.2222222222,1.0,1.0,1.0,2.0,0.0,G2,G,2,3
